school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,passed
GP,F,16,R,GT3,T,1,2,teacher,health,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,4,3,1,1,5,2,yes
GP,M,16,U,LE3,T,4,2,teacher,services,home,father,2,2,3,no,no,no,yes,yes,yes,yes,yes,3,3,2,2,1,4,0,yes
GP,F,16,U,GT3,T,3,4,at_home,health,home,father,1,1,0,no,no,yes,yes,no,yes,no,no,4,3,3,2,4,3,7,no
GP,M,17,R,GT3,T,2,2,other,other,reputation,father,1,2,0,yes,no,yes,yes,yes,yes,yes,no,5,3,4,4,4,5,13,no
GP,M,17,U,LE3,T,2,2,teacher,services,home,other,2,2,0,no,yes,no,yes,no,yes,yes,no,3,2,3,2,1,5,3,yes
GP,M,16,R,GT3,T,2,2,other,health,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,1,3,1,7,yes
GP,F,16,U,GT3,T,2,2,teacher,other,course,father,1,2,0,yes,yes,no,no,yes,yes,yes,no,4,3,5,1,1,5,0,no
GP,M,17,U,GT3,A,3,2,services,services,other,mother,1,2,0,no,no,no,no,yes,yes,yes,no,5,3,2,1,1,5,31,yes
GP,M,16,U,GT3,T,2,4,services,other,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,5,2,2,1,4,4,0,no
GP,F,21,U,GT3,T,0,2,services,teacher,other,father,1,2,0,no,yes,no,no,yes,yes,yes,no,5,4,4,1,3,4,2,yes
GP,M,17,U,GT3,T,3,1,services,other,home,mother,1,2,1,no,no,yes,yes,yes,no,yes,no,5,3,5,5,4,5,6,yes
GP,F,17,R,GT3,T,3,2,services,services,course,father,2,2,0,yes,yes,yes,no,yes,yes,yes,no,3,3,3,2,1,5,7,no
GP,F,16,R,GT3,T,3,2,health,other,home,mother,1,2,0,no,no,no,yes,no,yes,no,no,2,3,4,1,1,4,3,no
GP,F,17,U,GT3,T,3,1,teacher,other,other,father,1,1,2,yes,yes,no,yes,yes,yes,yes,yes,3,3,4,2,3,4,7,yes
GP,M,15,U,GT3,T,3,3,at_home,health,course,mother,3,2,1,no,yes,yes,no,yes,yes,yes,no,3,3,2,2,1,3,14,yes
GP,F,15,U,GT3,T,3,2,other,services,home,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,no,5,4,3,1,4,4,2,no
GP,F,16,R,GT3,A,4,2,services,services,reputation,mother,1,3,0,no,yes,yes,no,yes,yes,no,yes,4,3,3,1,1,2,5,no
GP,F,21,U,GT3,T,4,2,services,services,reputation,other,2,3,0,yes,yes,no,yes,yes,yes,yes,yes,4,3,2,2,1,5,0,yes
GP,F,17,U,LE3,T,3,3,teacher,services,home,mother,1,1,0,no,yes,no,yes,yes,yes,no,yes,4,1,4,2,1,1,4,yes
GP,M,16,U,GT3,T,2,2,teacher,other,reputation,other,1,1,0,no,no,no,yes,yes,no,yes,no,4,3,3,1,3,4,0,no
GP,F,17,U,GT3,T,4,1,health,teacher,other,father,1,1,0,no,yes,no,yes,yes,yes,no,no,5,3,3,4,1,5,0,no
GP,F,17,U,GT3,T,2,2,other,teacher,home,father,4,2,0,no,no,yes,yes,yes,yes,no,no,3,3,5,2,2,4,0,yes
GP,F,15,U,GT3,T,4,2,services,other,course,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,1,4,2,2,5,8,yes
GP,F,17,R,LE3,T,3,0,services,at_home,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,2,1,1,3,5,yes
GP,M,19,U,GT3,T,2,4,services,other,course,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,3,3,2,1,3,5,0,yes
GP,M,17,U,GT3,T,4,2,health,other,reputation,other,1,4,0,yes,no,yes,yes,yes,yes,yes,no,3,3,5,1,1,1,0,no
GP,M,16,R,LE3,T,4,2,at_home,services,other,other,1,2,0,no,no,yes,no,yes,yes,yes,no,5,3,3,2,2,5,0,yes
GP,M,16,U,GT3,T,2,2,other,other,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,5,4,2,2,2,2,0,no
GP,M,17,R,GT3,T,1,1,health,services,course,mother,1,1,0,no,no,yes,yes,yes,yes,no,yes,3,3,2,2,1,1,0,no
GP,F,19,R,GT3,T,4,2,health,services,course,father,1,2,0,yes,no,yes,no,no,yes,yes,no,5,2,4,2,1,3,0,yes
GP,M,15,R,GT3,T,4,0,teacher,services,course,mother,1,3,0,no,no,yes,no,yes,yes,yes,no,5,3,4,1,2,4,1,yes
GP,F,15,R,GT3,T,3,2,at_home,services,home,mother,1,2,2,no,no,yes,yes,yes,yes,yes,no,5,3,2,1,2,4,12,no
GP,M,17,R,GT3,T,2,1,other,services,course,mother,2,1,0,no,no,yes,yes,yes,yes,no,no,3,3,2,2,2,5,27,no
GP,M,16,U,GT3,T,4,2,other,other,course,mother,2,2,0,no,no,no,yes,no,yes,yes,no,5,3,1,1,3,5,2,yes
GP,F,15,U,GT3,T,3,3,health,at_home,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,2,3,5,3,5,2,yes
GP,F,16,U,LE3,T,0,1,health,other,course,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,5,4,2,1,1,4,4,no
GP,M,17,U,GT3,T,2,2,other,health,home,father,1,2,0,yes,no,no,yes,no,yes,yes,no,3,5,5,1,1,5,0,no
GP,F,20,U,GT3,T,4,1,at_home,other,course,mother,1,2,0,yes,no,no,yes,yes,yes,yes,no,5,4,4,1,2,5,4,no
GP,F,18,R,GT3,T,4,3,teacher,at_home,reputation,mother,1,2,0,no,yes,yes,yes,no,yes,yes,no,4,4,2,2,1,3,5,yes
GP,F,17,R,LE3,T,3,2,health,other,home,other,3,3,0,yes,yes,no,yes,yes,yes,no,no,3,3,2,2,1,1,1,no
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,5,3,3,2,1,2,0,yes
MS,M,16,U,GT3,A,2,2,other,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,yes,5,2,2,2,3,5,6,no
GP,M,17,U,GT3,T,2,2,teacher,other,home,father,1,2,0,no,no,yes,no,yes,yes,yes,no,4,4,3,1,1,3,0,yes
GP,F,15,R,GT3,T,1,1,teacher,teacher,home,father,4,3,3,yes,no,yes,yes,yes,yes,yes,no,5,3,4,4,4,4,2,yes
